Latitude,Longitude,Country,City,Population
FLOAT,FLOAT,TEXT,TEXT,INT
43.210062,-2.885616,es,arrigorriaga,11118
-19.5,-54.083333,br,camapua,11119
48.583333,8.6,de,altensteig,11122
-8.766667,-38.966667,br,belem de sao francisco,11124
55.783333,-4.85,gb,largs,11126
-7.666667,-35.1,br,itaquitinga,11128
-33.482471,150.136307,au,lithgow,11129
48.766667,8.166667,de,sinzheim,11131
51.766667,7.95,de,rosendahl,11132
-33.137199,148.175903,au,parkes,11137
8.538865,-74.62038,co,majagual,11139
37.38714,-6.201059,es,sanlucar la mayor,11143
48.703827,2.339084,fr,morangis,11145
48.462783,7.481764,fr,obernai,11146
-24.700034,-48.004445,br,jacupiranga,11149
12.033333,39.033333,et,lalibela,11152
51.033333,3.55,be,nevele,11153
4.937222,-75.737778,co,marsella,11158
-12.366667,-40.666667,br,terra nova,11169
-3.366667,-42.4,br,sao bernardo,11171
45.664319,4.949939,fr,mions,11171
48.05,11.516667,de,grunwald,11173
-31.566667,-53.383333,br,pinheiro machado,11176
52.533333,12.333333,de,premnitz,11176
52.466667,9.2,de,rehburg-loccum,11180
-3.25,-60.1,br,iranduba,11181
49.816667,7.116667,de,morbach,11184
-3.833333,-62.083333,br,codajas,11185
49.074444,9.146944,de,lauffen,11191
50.516667,1.640689,fr,etaples,11191
49.170604,-0.317979,fr,mondeville,11193
46.421233,6.266986,ch,gland,11194
47.6,14.45,at,hall,11197
-8.5,-36.95,br,pedra,11197
37.590912,-4.082367,es,alcaudete,11197
50.316667,9.466667,de,steinau,11199
1.3,10.9333333,gq,aconibe,11199
-11,-68.733333,br,brasileia,11200
50.666667,13.333333,de,olbernhau,11206
41.4916667,20.2219444,al,bulqize,11212
-10.533333,-37.433333,br,ribeiropolis,11215
-20.266667,-47.483333,br,pedregulho,11216
3.620569,-75.094148,co,natagaima,11217
-15.15,-42.883333,br,monte azul,11222
10.641035,-74.750257,co,ponedera,11222
39.462457,-3.608002,es,consuegra,11223
42.5333333,1.5833333,ad,encamp,11224
11.15,-3.0666667,bf,dano,11224
48.544203,7.71087,fr,ostwald,11224
43.384848,5.16283,fr,chateauneuf-les-martigues,11225
50.503451,2.473462,fr,auchel,11227
-11.766667,-44.933333,br,riachao das neves,11236
42.8166667,23.2166667,bg,kostinbrod,11239
-23.933333,-53.9,br,altonia,11242
51.133333,9.416667,de,felsberg,11244
48.55,10.85,de,meitingen,11245
-34.72625,135.87442,au,port lincoln,11247
48.2,11.883333,de,markt schwaben,11251
-14.783333,-50.583333,br,mozarlandia,11252
-11.4,-41.833333,br,lapao,11253
45.9,-77.283333,ca,petawawa,11256
-2.793611,-57.068889,br,barreirinha,11257
-5.083333,-37.983333,br,quixere,11258
49.566667,5.533333,be,virton,11259
50.133333,8.066667,de,bad schwalbach,11259
13.9297222,41.6925,er,edd,11259
51.3,14.816667,de,niesky,11260
4.270802,-73.486694,co,cumaral,11264
47.483333,12.066667,at,worgl,11265
6.881,-73.409766,co,san vicente de chucuri,11265
6.314192,-73.949684,co,cimitarra,11267
47.827711,-0.700268,fr,chateau-gontier,11267
-22.3,-44.95,br,itanhandu,11274
51.833333,6.466667,de,isselburg,11274
-23.4,-50.3,br,ribeirao do pinhal,11275
10.166389,40.645278,et,gewane,11279
39.981945,-4.283494,es,torrijos,11284
48.883333,9.65,de,welzheim,11286
-6.916667,-39.566667,br,farias brito,11288
43.388014,-6.074327,es,grado,11289
50.85,3.35,be,deerlijk,11292
7.391498,-73.495739,co,sabana de torres,11292
48.716667,11.5,de,manching,11297
52.966667,-113.383333,ca,wetaskiwin,11302
8.688187,-73.664515,co,pelaya,11306
4.719295,-74.929181,co,venadillo,11311
47.716667,16.083333,at,neunkirchen,11313
56.486241,8.60442,dk,struer,11317
51.8,9.683333,de,dassel,11319
52.95,12.4,de,kyritz,11321
-17.75,-39.25,br,caravelas,11322
57.266667,-2.366667,gb,inverurie,11324
46.87309,7.568647,ch,munsingen,11326
4.2666667,11.2,cm,monatele,11327
52.016667,10.133333,de,bockenem,11328
43.443864,-3.457571,es,santona,11328
-7.783333,-39.916667,br,bodoco,11329
-7.866667,-35.583333,br,joao alfredo,11334
-11.233333,-38.483333,br,nova soure,11340
50.9,10.566667,de,waltershausen,11345
49.544884,18.210243,cz,frenstat,11348
51.616667,8.9,de,lichtenau,11350
56.116667,-3.35,gb,cowdenbeath,11350
37.45,24.9333333,gr,ermoupolis,11351
-35.119862,139.273453,au,murray bridge,11356
49.490899,16.659172,cz,boskovice,11356
56,12.566667,dk,espergaerde,11358
50.55,-3.583333,gb,kingsteignton,11360
47.261507,8.852445,ch,ruti,11361
50.7,4.033333,be,enghien,11367
19.2333333,-69.6,do,sanchez,11368
-6.866667,-39.866667,br,assare,11369
54.1,11.9,de,bad doberan,11373
-16.666667,-48.6,br,silvania,11377
40.1805556,45.7283333,am,vardenis,11382
-22.716667,-51.4,br,porecatu,11390
44.659252,-1.169382,fr,arcachon,11391
-6.483333,-36.15,br,cuite,11392
47.783333,11.833333,de,miesbach,11394
53.383333,10.116667,de,stelle,11396
40.339444,49.803889,az,badamdar,11398
47.207416,8.705841,ch,richterswil,11398
50.516667,8.4,de,braunfels,11398
6.866667,38.45,et,leku,11398
13.65,-14.8666667,gm,kuntaur,11399
50.383333,4.866667,be,profondeville,11401
47.783333,12.1,de,raubling,11403
-14.3,-43.783333,br,carinhanha,11408
48.75,8.55,de,bad wildbad,11411
8.983333,40.166667,et,awash,11415
43.764078,7.482065,fr,roquebrune-cap-martin,11416
-20.866667,-51.483333,br,castilho,11419
-9.833333,-39.466667,br,uaua,11425
49.316667,7.1,de,friedrichsthal,11425
47.670252,-2.991828,fr,auray,11425
10.459117,-74.879697,co,candelaria,11427
50.866667,13.066667,de,floha,11427
49.196389,12.518611,de,roding,11428
51.766667,6.85,de,raesfeld,11430
19.2166667,-69.3166667,do,samana,11433
50.433333,9.616667,de,neuhof,11437
48.65,8.9,de,gartringen,11438
49.45,7.05,de,marpingen,11439
1.2491667,-78.9830556,ec,valdez,11441
52.316667,7.883333,de,westerkappeln,11443
49.57,8.831667,de,wald-michelbach,11447
51.95,9.25,de,lugde,11448
50.401157,2.86246,fr,mericourt,11450
49.237292,13.523972,cz,susice,11452
51.483333,8.45,de,ruthen,11453
8.6666667,14.1833333,cm,rey bouba,11454
47.283056,9.65,at,rankweil,11455
50.15,9.033333,de,rodenbach,11455
52.6,7.266667,de,geeste,11456
10.025022,-74.622789,co,chivolo,11457
42.1,-83.1,ca,amherstburg,11459
50.8,-3.183333,gb,honiton,11463
59.3591667,27.4211111,ee,johvi,11469
16,-61.7166667,gp,basse-terre,11472
47.079366,8.340411,ch,ebikon,11473
36.4,28.1666667,gr,ialisos,11473
48.05,7.866667,de,gundelfingen,11475
-2.883611,-41.666111,br,luis correia,11480
37.303373,-6.300969,es,pilas,11480
47.445648,-0.465395,fr,trelaze,11481
-17.35,-63.4,bo,portachuelo,11486
50.433333,4.55,be,farciennes,11488
9.395603,-75.064758,co,san pedro,11489
49.09378,0.601411,fr,bernay,11491
